"patient_id","tumor_site","n_cells","chromosome","chr_num","mean_cnv"
"SPECTRUM-OV-065","Ascites",883,"chr13",13,1.02782723544897
"SPECTRUM-OV-065","Ascites",883,"chr14",14,1.00285021804721
"SPECTRUM-OV-065","Ascites",883,"chr15",15,1.01521403739867
"SPECTRUM-OV-065","Ascites",883,"chr16",16,1.02440036655327
"SPECTRUM-OV-065","Ascites",883,"chr17",17,0.972384355343734
"SPECTRUM-OV-065","Ascites",883,"chr18",18,1.01683341365598
"SPECTRUM-OV-065","Ascites",883,"chr19",19,1.04101397881096
"SPECTRUM-OV-065","Ascites",883,"chr20",20,1.11093891360378
"SPECTRUM-OV-065","Ascites",883,"chr21",21,0.980158169100698
"SPECTRUM-OV-065","Ascites",883,"chr22",22,0.920944311237827
"SPECTRUM-OV-068","Solid",1500,"chr1",1,1.00939069202924
"SPECTRUM-OV-068","Solid",1500,"chr2",2,1.02012139486876
"SPECTRUM-OV-068","Solid",1500,"chr3",3,1.01415263092584
"SPECTRUM-OV-068","Solid",1500,"chr4",4,1.00691643807669
"SPECTRUM-OV-068","Solid",1500,"chr5",5,0.97077601582463
"SPECTRUM-OV-068","Solid",1500,"chr6",6,0.967513527136777
"SPECTRUM-OV-068","Solid",1500,"chr7",7,1.11832492032001
"SPECTRUM-OV-068","Solid",1500,"chr8",8,1.03502021300423
"SPECTRUM-OV-068","Solid",1500,"chr9",9,0.979369606047133
"SPECTRUM-OV-068","Solid",1500,"chr10",10,0.981829574451242
"SPECTRUM-OV-068","Solid",1500,"chr11",11,1.00538644502484
"SPECTRUM-OV-068","Solid",1500,"chr12",12,1.04056898333742
"SPECTRUM-OV-068","Solid",1500,"chr13",13,0.976704636785963
"SPECTRUM-OV-068","Solid",1500,"chr14",14,1.0020835766731
"SPECTRUM-OV-068","Solid",1500,"chr15",15,1.00383554946921
"SPECTRUM-OV-068","Solid",1500,"chr16",16,1.07522380438285
"SPECTRUM-OV-068","Solid",1500,"chr17",17,0.959466808766207
"SPECTRUM-OV-068","Solid",1500,"chr18",18,0.974487336633629
"SPECTRUM-OV-068","Solid",1500,"chr19",19,1.03578487919533
"SPECTRUM-OV-068","Solid",1500,"chr20",20,1.01961225400119
"SPECTRUM-OV-068","Solid",1500,"chr21",21,0.974671630330894
"SPECTRUM-OV-068","Solid",1500,"chr22",22,0.964521529414532
"SPECTRUM-OV-068","Ascites",1,"chr1",1,1.01113467495062
"SPECTRUM-OV-068","Ascites",1,"chr2",2,1.04847101512056
"SPECTRUM-OV-068","Ascites",1,"chr3",3,1.01201605420473
"SPECTRUM-OV-068","Ascites",1,"chr4",4,1.00194668673113
"SPECTRUM-OV-068","Ascites",1,"chr5",5,0.943381005821787
"SPECTRUM-OV-068","Ascites",1,"chr6",6,0.920563121182406
"SPECTRUM-OV-068","Ascites",1,"chr7",7,1.14380527319429
"SPECTRUM-OV-068","Ascites",1,"chr8",8,1.09857848101
"SPECTRUM-OV-068","Ascites",1,"chr9",9,0.94782683455483
"SPECTRUM-OV-068","Ascites",1,"chr10",10,1.00194668673113
"SPECTRUM-OV-068","Ascites",1,"chr11",11,1.00194668673113
"SPECTRUM-OV-068","Ascites",1,"chr12",12,1.04134996976605
"SPECTRUM-OV-068","Ascites",1,"chr13",13,1.00194668673113
"SPECTRUM-OV-068","Ascites",1,"chr14",14,0.955296848044832
"SPECTRUM-OV-068","Ascites",1,"chr15",15,1.02579648082197
"SPECTRUM-OV-068","Ascites",1,"chr16",16,1.2085231975673
"SPECTRUM-OV-068","Ascites",1,"chr17",17,0.968759408605394
"SPECTRUM-OV-068","Ascites",1,"chr18",18,1.00194668673113
"SPECTRUM-OV-068","Ascites",1,"chr19",19,0.985030557976796
"SPECTRUM-OV-068","Ascites",1,"chr20",20,1.06890982894442
"SPECTRUM-OV-068","Ascites",1,"chr21",21,1.00194668673113
"SPECTRUM-OV-068","Ascites",1,"chr22",22,1.00194668673113
"SPECTRUM-OV-071","Solid",1500,"chr1",1,1.03409306184772
"SPECTRUM-OV-071","Solid",1500,"chr2",2,1.00342606761307
"SPECTRUM-OV-071","Solid",1500,"chr3",3,1.02497192809359
"SPECTRUM-OV-071","Solid",1500,"chr4",4,0.998103022576397
"SPECTRUM-OV-071","Solid",1500,"chr5",5,1.00397305382356
"SPECTRUM-OV-071","Solid",1500,"chr6",6,0.934205384301999
"SPECTRUM-OV-071","Solid",1500,"chr7",7,1.00072907646063
"SPECTRUM-OV-071","Solid",1500,"chr8",8,1.01305102016765
"SPECTRUM-OV-071","Solid",1500,"chr9",9,1.00163812036744
"SPECTRUM-OV-071","Solid",1500,"chr10",10,0.966859785656015
"SPECTRUM-OV-071","Solid",1500,"chr11",11,0.995204777314447
"SPECTRUM-OV-071","Solid",1500,"chr12",12,1.00682022222977
"SPECTRUM-OV-071","Solid",1500,"chr13",13,0.972785371551747
"SPECTRUM-OV-071","Solid",1500,"chr14",14,1.01347658145092
"SPECTRUM-OV-071","Solid",1500,"chr15",15,1.00784176448716
"SPECTRUM-OV-071","Solid",1500,"chr16",16,1.01412579468517
"SPECTRUM-OV-071","Solid",1500,"chr17",17,0.985655120606787
"SPECTRUM-OV-071","Solid",1500,"chr18",18,1.01527764861523
"SPECTRUM-OV-071","Solid",1500,"chr19",19,1.03700121405563
"SPECTRUM-OV-071","Solid",1500,"chr20",20,1.09360541144941
"SPECTRUM-OV-071","Solid",1500,"chr21",21,0.989542732230389
"SPECTRUM-OV-071","Solid",1500,"chr22",22,0.942194744957155
"SPECTRUM-OV-071","Ascites",1482,"chr1",1,1.03852641170994
"SPECTRUM-OV-071","Ascites",1482,"chr2",2,1.00425667567082
"SPECTRUM-OV-071","Ascites",1482,"chr3",3,1.04315878974557
"SPECTRUM-OV-071","Ascites",1482,"chr4",4,0.993615468851412
"SPECTRUM-OV-071","Ascites",1482,"chr5",5,0.998796826869414
"SPECTRUM-OV-071","Ascites",1482,"chr6",6,0.930569519612331
"SPECTRUM-OV-071","Ascites",1482,"chr7",7,1.00737693712145
"SPECTRUM-OV-071","Ascites",1482,"chr8",8,1.01195434815814
"SPECTRUM-OV-071","Ascites",1482,"chr9",9,1.00254689101659
"SPECTRUM-OV-071","Ascites",1482,"chr10",10,0.962868603486846
"SPECTRUM-OV-071","Ascites",1482,"chr11",11,0.99182668535644
"SPECTRUM-OV-071","Ascites",1482,"chr12",12,1.00900559374486
"SPECTRUM-OV-071","Ascites",1482,"chr13",13,0.980654418723995
"SPECTRUM-OV-071","Ascites",1482,"chr14",14,0.986642491626125
"SPECTRUM-OV-071","Ascites",1482,"chr15",15,1.01848261055155
"SPECTRUM-OV-071","Ascites",1482,"chr16",16,1.01999530966721
"SPECTRUM-OV-071","Ascites",1482,"chr17",17,0.996174462883916
"SPECTRUM-OV-071","Ascites",1482,"chr18",18,1.03362949995173
"SPECTRUM-OV-071","Ascites",1482,"chr19",19,1.02228284223114
"SPECTRUM-OV-071","Ascites",1482,"chr20",20,1.1184281974553
"SPECTRUM-OV-071","Ascites",1482,"chr21",21,0.997137716771167
"SPECTRUM-OV-071","Ascites",1482,"chr22",22,0.960505188976806
"SPECTRUM-OV-075","Solid",1500,"chr1",1,1.01075719305736
"SPECTRUM-OV-075","Solid",1500,"chr2",2,1.00513939753825
"SPECTRUM-OV-075","Solid",1500,"chr3",3,1.07962800464706
"SPECTRUM-OV-075","Solid",1500,"chr4",4,0.992620414984841
"SPECTRUM-OV-075","Solid",1500,"chr5",5,0.982042216563505
"SPECTRUM-OV-075","Solid",1500,"chr6",6,0.907029507955552
"SPECTRUM-OV-075","Solid",1500,"chr7",7,1.0056940835193
"SPECTRUM-OV-075","Solid",1500,"chr8",8,1.09350245639876
"SPECTRUM-OV-075","Solid",1500,"chr9",9,1.10216287410168
"SPECTRUM-OV-075","Solid",1500,"chr10",10,0.98129020472479
"SPECTRUM-OV-075","Solid",1500,"chr11",11,1.01728385739517
"SPECTRUM-OV-075","Solid",1500,"chr12",12,0.992559343036456
"SPECTRUM-OV-075","Solid",1500,"chr13",13,1.03210173981036
"SPECTRUM-OV-075","Solid",1500,"chr14",14,0.979011641057239
"SPECTRUM-OV-075","Solid",1500,"chr15",15,0.968871875001172
"SPECTRUM-OV-075","Solid",1500,"chr16",16,1.01650676805281
"SPECTRUM-OV-075","Solid",1500,"chr17",17,0.949417072739383
"SPECTRUM-OV-075","Solid",1500,"chr18",18,0.974129442242195
"SPECTRUM-OV-075","Solid",1500,"chr19",19,1.06985334619302
"SPECTRUM-OV-075","Solid",1500,"chr20",20,1.08697808462437
"SPECTRUM-OV-075","Solid",1500,"chr21",21,0.993324965743446
"SPECTRUM-OV-075","Solid",1500,"chr22",22,0.974184456601981
"SPECTRUM-OV-075","Ascites",1500,"chr1",1,1.01593930173381
"SPECTRUM-OV-075","Ascites",1500,"chr2",2,1.00462208883231
"SPECTRUM-OV-075","Ascites",1500,"chr3",3,1.0673877778186
"SPECTRUM-OV-075","Ascites",1500,"chr4",4,0.994905687471305
"SPECTRUM-OV-075","Ascites",1500,"chr5",5,0.966604914347348
"SPECTRUM-OV-075","Ascites",1500,"chr6",6,0.882976566000137
"SPECTRUM-OV-075","Ascites",1500,"chr7",7,1.02265078770022
"SPECTRUM-OV-075","Ascites",1500,"chr8",8,1.06687183456125
"SPECTRUM-OV-075","Ascites",1500,"chr9",9,1.09193550484214
"SPECTRUM-OV-075","Ascites",1500,"chr10",10,0.976101308908553
"SPECTRUM-OV-075","Ascites",1500,"chr11",11,1.01432595485194
"SPECTRUM-OV-075","Ascites",1500,"chr12",12,0.980929168750732
"SPECTRUM-OV-075","Ascites",1500,"chr13",13,1.05883823995137
"SPECTRUM-OV-075","Ascites",1500,"chr14",14,0.95382719666257
"SPECTRUM-OV-075","Ascites",1500,"chr15",15,0.989931241652726
"SPECTRUM-OV-075","Ascites",1500,"chr16",16,1.04084144889361
"SPECTRUM-OV-075","Ascites",1500,"chr17",17,0.959103742664977
"SPECTRUM-OV-075","Ascites",1500,"chr18",18,0.976830126777087
"SPECTRUM-OV-075","Ascites",1500,"chr19",19,1.04873065012314
"SPECTRUM-OV-075","Ascites",1500,"chr20",20,1.11973148152366
"SPECTRUM-OV-075","Ascites",1500,"chr21",21,0.978257898676144
"SPECTRUM-OV-075","Ascites",1500,"chr22",22,0.962144361003311
"SPECTRUM-OV-077","Solid",1138,"chr1",1,1.00586743760315
"SPECTRUM-OV-077","Solid",1138,"chr2",2,1.01250136016659
"SPECTRUM-OV-077","Solid",1138,"chr3",3,1.01659329809491
"SPECTRUM-OV-077","Solid",1138,"chr4",4,1.00499049036579
"SPECTRUM-OV-077","Solid",1138,"chr5",5,0.991853495027421
"SPECTRUM-OV-077","Solid",1138,"chr6",6,0.926952098824183
"SPECTRUM-OV-077","Solid",1138,"chr7",7,0.996692844696992
"SPECTRUM-OV-077","Solid",1138,"chr8",8,1.09863994683792
"SPECTRUM-OV-077","Solid",1138,"chr9",9,1.07151711979391
"SPECTRUM-OV-077","Solid",1138,"chr10",10,0.993798836602303
"SPECTRUM-OV-077","Solid",1138,"chr11",11,1.02553813331579
"SPECTRUM-OV-077","Solid",1138,"chr12",12,0.998241294543915
"SPECTRUM-OV-077","Solid",1138,"chr13",13,0.957896063714958
"SPECTRUM-OV-077","Solid",1138,"chr14",14,0.978182519025189
"SPECTRUM-OV-077","Solid",1138,"chr15",15,0.995656242096223
"SPECTRUM-OV-077","Solid",1138,"chr16",16,1.04562675536813
"SPECTRUM-OV-077","Solid",1138,"chr17",17,0.998283354431569
"SPECTRUM-OV-077","Solid",1138,"chr18",18,0.996749693353159
"SPECTRUM-OV-077","Solid",1138,"chr19",19,1.0021518256101
"SPECTRUM-OV-077","Solid",1138,"chr20",20,1.01073123207747
"SPECTRUM-OV-077","Solid",1138,"chr21",21,1.02484351267697
"SPECTRUM-OV-077","Solid",1138,"chr22",22,0.990761349257543
"SPECTRUM-OV-077","Ascites",19,"chr1",1,1.00887013636147
"SPECTRUM-OV-077","Ascites",19,"chr2",2,1.01287140651471
"SPECTRUM-OV-077","Ascites",19,"chr3",3,1.01218529902553
"SPECTRUM-OV-077","Ascites",19,"chr4",4,1.00442044850088
"SPECTRUM-OV-077","Ascites",19,"chr5",5,1.00603012320444
"SPECTRUM-OV-077","Ascites",19,"chr6",6,0.935557110830839
"SPECTRUM-OV-077","Ascites",19,"chr7",7,1.00762030088558
"SPECTRUM-OV-077","Ascites",19,"chr8",8,1.1025989397027
"SPECTRUM-OV-077","Ascites",19,"chr9",9,1.05730632238561
"SPECTRUM-OV-077","Ascites",19,"chr10",10,0.990540192488363
"SPECTRUM-OV-077","Ascites",19,"chr11",11,1.01691534916097
"SPECTRUM-OV-077","Ascites",19,"chr12",12,0.991656351958807
"SPECTRUM-OV-077","Ascites",19,"chr13",13,0.954919868853558
"SPECTRUM-OV-077","Ascites",19,"chr14",14,0.976718156802288
"SPECTRUM-OV-077","Ascites",19,"chr15",15,0.987956159253821
"SPECTRUM-OV-077","Ascites",19,"chr16",16,1.03795213212499
"SPECTRUM-OV-077","Ascites",19,"chr17",17,1.00055531176604
"SPECTRUM-OV-077","Ascites",19,"chr18",18,0.995117219732574
"SPECTRUM-OV-077","Ascites",19,"chr19",19,0.994515109907994
"SPECTRUM-OV-077","Ascites",19,"chr20",20,1.01207999087639
"SPECTRUM-OV-077","Ascites",19,"chr21",21,1.02935977806945
"SPECTRUM-OV-077","Ascites",19,"chr22",22,0.983418111015649
"SPECTRUM-OV-080","Solid",306,"chr1",1,1.0032647774592
"SPECTRUM-OV-080","Solid",306,"chr2",2,0.991597665952403
"SPECTRUM-OV-080","Solid",306,"chr3",3,1.08132437246639
"SPECTRUM-OV-080","Solid",306,"chr4",4,1.02295238545681
"SPECTRUM-OV-080","Solid",306,"chr5",5,0.970677168871261
"SPECTRUM-OV-080","Solid",306,"chr6",6,0.968812527120838
"SPECTRUM-OV-080","Solid",306,"chr7",7,0.99521079378693
"SPECTRUM-OV-080","Solid",306,"chr8",8,1.00941650795455
"SPECTRUM-OV-080","Solid",306,"chr9",9,1.02359916578418
"SPECTRUM-OV-080","Solid",306,"chr10",10,0.993008774476231
"SPECTRUM-OV-080","Solid",306,"chr11",11,1.00283532139057
"SPECTRUM-OV-080","Solid",306,"chr12",12,1.00275196550592
"SPECTRUM-OV-080","Solid",306,"chr13",13,1.03393432090756
"SPECTRUM-OV-080","Solid",306,"chr14",14,1.04069154691856
"SPECTRUM-OV-080","Solid",306,"chr15",15,1.01126251362207
"SPECTRUM-OV-080","Solid",306,"chr16",16,1.00415422274033
"SPECTRUM-OV-080","Solid",306,"chr17",17,0.978152673130778
"SPECTRUM-OV-080","Solid",306,"chr18",18,0.997183856592918
"SPECTRUM-OV-080","Solid",306,"chr19",19,0.989545185731786
"SPECTRUM-OV-080","Solid",306,"chr20",20,1.01017924808508
"SPECTRUM-OV-080","Solid",306,"chr21",21,1.07879157820745
"SPECTRUM-OV-080","Solid",306,"chr22",22,0.930563774810666
"SPECTRUM-OV-080","Ascites",1500,"chr1",1,1.01250270932647
"SPECTRUM-OV-080","Ascites",1500,"chr2",2,1.00080653165417
"SPECTRUM-OV-080","Ascites",1500,"chr3",3,1.03942908757976
"SPECTRUM-OV-080","Ascites",1500,"chr4",4,1.00227602350298
"SPECTRUM-OV-080","Ascites",1500,"chr5",5,0.971640406028341
"SPECTRUM-OV-080","Ascites",1500,"chr6",6,0.848857828918224
"SPECTRUM-OV-080","Ascites",1500,"chr7",7,1.0128752143061
"SPECTRUM-OV-080","Ascites",1500,"chr8",8,1.06408267813332
"SPECTRUM-OV-080","Ascites",1500,"chr9",9,1.06154049841739
"SPECTRUM-OV-080","Ascites",1500,"chr10",10,0.983299905686618
"SPECTRUM-OV-080","Ascites",1500,"chr11",11,1.01675483429194
"SPECTRUM-OV-080","Ascites",1500,"chr12",12,1.02974276966645
"SPECTRUM-OV-080","Ascites",1500,"chr13",13,0.98873785458211
"SPECTRUM-OV-080","Ascites",1500,"chr14",14,0.969866444139301
"SPECTRUM-OV-080","Ascites",1500,"chr15",15,0.997966355334762
"SPECTRUM-OV-080","Ascites",1500,"chr16",16,1.026178583833
"SPECTRUM-OV-080","Ascites",1500,"chr17",17,0.972735785369711
"SPECTRUM-OV-080","Ascites",1500,"chr18",18,1.01017279145406
"SPECTRUM-OV-080","Ascites",1500,"chr19",19,1.02225749065893
"SPECTRUM-OV-080","Ascites",1500,"chr20",20,1.10031260638052
"SPECTRUM-OV-080","Ascites",1500,"chr21",21,0.99913044478791
"SPECTRUM-OV-080","Ascites",1500,"chr22",22,0.945344217245467
"SPECTRUM-OV-083","Solid",1500,"chr1",1,1.00618792902244
"SPECTRUM-OV-083","Solid",1500,"chr2",2,1.05975444164728
"SPECTRUM-OV-083","Solid",1500,"chr3",3,1.00716083883865
"SPECTRUM-OV-083","Solid",1500,"chr4",4,1.01207636712359
"SPECTRUM-OV-083","Solid",1500,"chr5",5,0.993629196628876
"SPECTRUM-OV-083","Solid",1500,"chr6",6,0.913876597067024
"SPECTRUM-OV-083","Solid",1500,"chr7",7,1.02413588064004
"SPECTRUM-OV-083","Solid",1500,"chr8",8,1.01183247056803
"SPECTRUM-OV-083","Solid",1500,"chr9",9,1.06516460133739
"SPECTRUM-OV-083","Solid",1500,"chr10",10,0.979575236701805
"SPECTRUM-OV-083","Solid",1500,"chr11",11,1.00399145580511
"SPECTRUM-OV-083","Solid",1500,"chr12",12,1.0667960759715
"SPECTRUM-OV-083","Solid",1500,"chr13",13,0.962741579860432
"SPECTRUM-OV-083","Solid",1500,"chr14",14,0.993835284748591
"SPECTRUM-OV-083","Solid",1500,"chr15",15,0.985505057242429
"SPECTRUM-OV-083","Solid",1500,"chr16",16,0.946523641926591
"SPECTRUM-OV-083","Solid",1500,"chr17",17,0.97738627319219
"SPECTRUM-OV-083","Solid",1500,"chr18",18,1.02026359392726
"SPECTRUM-OV-083","Solid",1500,"chr19",19,1.00684852802054
"SPECTRUM-OV-083","Solid",1500,"chr20",20,1.02709039242938
"SPECTRUM-OV-083","Solid",1500,"chr21",21,1.01508774137876
"SPECTRUM-OV-083","Solid",1500,"chr22",22,0.843855844793728
"SPECTRUM-OV-083","Ascites",15,"chr1",1,1.00668912487826
"SPECTRUM-OV-083","Ascites",15,"chr2",2,1.03812914811323
"SPECTRUM-OV-083","Ascites",15,"chr3",3,1.01203854255309
"SPECTRUM-OV-083","Ascites",15,"chr4",4,1.01438252943227
"SPECTRUM-OV-083","Ascites",15,"chr5",5,0.992375425046987
"SPECTRUM-OV-083","Ascites",15,"chr6",6,0.948514067648732
"SPECTRUM-OV-083","Ascites",15,"chr7",7,1.02469927332869
"SPECTRUM-OV-083","Ascites",15,"chr8",8,1.01279511480601
"SPECTRUM-OV-083","Ascites",15,"chr9",9,1.04780990487045
"SPECTRUM-OV-083","Ascites",15,"chr10",10,0.985560307328083
"SPECTRUM-OV-083","Ascites",15,"chr11",11,0.998744847198627
"SPECTRUM-OV-083","Ascites",15,"chr12",12,1.04057924505316
"SPECTRUM-OV-083","Ascites",15,"chr13",13,0.978841968815144
"SPECTRUM-OV-083","Ascites",15,"chr14",14,0.985819207227548
"SPECTRUM-OV-083","Ascites",15,"chr15",15,0.994788981717948
"SPECTRUM-OV-083","Ascites",15,"chr16",16,0.959046550096187
"SPECTRUM-OV-083","Ascites",15,"chr17",17,0.987303066640147
"SPECTRUM-OV-083","Ascites",15,"chr18",18,1.02378656381436
"SPECTRUM-OV-083","Ascites",15,"chr19",19,1.00770470827406
"SPECTRUM-OV-083","Ascites",15,"chr20",20,1.04748699570622
"SPECTRUM-OV-083","Ascites",15,"chr21",21,1.00273914500486
"SPECTRUM-OV-083","Ascites",15,"chr22",22,0.891322144540583
"SPECTRUM-OV-105","Solid",1500,"chr1",1,1.02679139825001
"SPECTRUM-OV-105","Solid",1500,"chr2",2,1.0033192324558
"SPECTRUM-OV-105","Solid",1500,"chr3",3,1.04277708924465
"SPECTRUM-OV-105","Solid",1500,"chr4",4,0.965895965036985
"SPECTRUM-OV-105","Solid",1500,"chr5",5,0.989065997521755
"SPECTRUM-OV-105","Solid",1500,"chr6",6,1.04419658574517
"SPECTRUM-OV-105","Solid",1500,"chr7",7,1.00218621978534
"SPECTRUM-OV-105","Solid",1500,"chr8",8,1.06500353180977
"SPECTRUM-OV-105","Solid",1500,"chr9",9,0.987344081134532
"SPECTRUM-OV-105","Solid",1500,"chr10",10,0.955369481002088
"SPECTRUM-OV-105","Solid",1500,"chr11",11,1.01530938542646
"SPECTRUM-OV-105","Solid",1500,"chr12",12,1.00862954520938
"SPECTRUM-OV-105","Solid",1500,"chr13",13,0.968584155207847
"SPECTRUM-OV-105","Solid",1500,"chr14",14,0.992491290829437
"SPECTRUM-OV-105","Solid",1500,"chr15",15,0.992474994536002
"SPECTRUM-OV-105","Solid",1500,"chr16",16,1.03993246731797
"SPECTRUM-OV-105","Solid",1500,"chr17",17,0.978879452753189
"SPECTRUM-OV-105","Solid",1500,"chr18",18,1.04879320024888
"SPECTRUM-OV-105","Solid",1500,"chr19",19,1.07095989924936
"SPECTRUM-OV-105","Solid",1500,"chr20",20,1.10332158266187
"SPECTRUM-OV-105","Solid",1500,"chr21",21,1.06548164569648
"SPECTRUM-OV-105","Solid",1500,"chr22",22,0.895707162397851
"SPECTRUM-OV-105","Ascites",106,"chr1",1,1.02829879371683
"SPECTRUM-OV-105","Ascites",106,"chr2",2,1.00538756098024
"SPECTRUM-OV-105","Ascites",106,"chr3",3,1.04801444497058
"SPECTRUM-OV-105","Ascites",106,"chr4",4,0.935046474689527
"SPECTRUM-OV-105","Ascites",106,"chr5",5,0.974095576619257
"SPECTRUM-OV-105","Ascites",106,"chr6",6,1.00647920476634
"SPECTRUM-OV-105","Ascites",106,"chr7",7,0.998406517096309
"SPECTRUM-OV-105","Ascites",106,"chr8",8,1.04438970727204
"SPECTRUM-OV-105","Ascites",106,"chr9",9,0.99279810104668
"SPECTRUM-OV-105","Ascites",106,"chr10",10,0.963080133323872
"SPECTRUM-OV-105","Ascites",106,"chr11",11,1.00994222186968
"SPECTRUM-OV-105","Ascites",106,"chr12",12,1.00673244382075
"SPECTRUM-OV-105","Ascites",106,"chr13",13,0.970314167815329
"SPECTRUM-OV-105","Ascites",106,"chr14",14,0.981317369597754
"SPECTRUM-OV-105","Ascites",106,"chr15",15,1.00223512618559
"SPECTRUM-OV-105","Ascites",106,"chr16",16,1.0620565584946
"SPECTRUM-OV-105","Ascites",106,"chr17",17,0.990674145370406
"SPECTRUM-OV-105","Ascites",106,"chr18",18,1.03523590181401
"SPECTRUM-OV-105","Ascites",106,"chr19",19,1.05221482941484
"SPECTRUM-OV-105","Ascites",106,"chr20",20,1.12379731907401
"SPECTRUM-OV-105","Ascites",106,"chr21",21,1.08485958662656
"SPECTRUM-OV-105","Ascites",106,"chr22",22,0.877404463550661
"SPECTRUM-OV-107","Solid",1500,"chr1",1,1.01657267980229
"SPECTRUM-OV-107","Solid",1500,"chr2",2,1.0137658291333
"SPECTRUM-OV-107","Solid",1500,"chr3",3,1.05800073921687
"SPECTRUM-OV-107","Solid",1500,"chr4",4,0.963738979681912
"SPECTRUM-OV-107","Solid",1500,"chr5",5,0.994632094866234
"SPECTRUM-OV-107","Solid",1500,"chr6",6,0.897540210392954
"SPECTRUM-OV-107","Solid",1500,"chr7",7,1.03248385796996
"SPECTRUM-OV-107","Solid",1500,"chr8",8,1.08387506612032
"SPECTRUM-OV-107","Solid",1500,"chr9",9,1.00201421360957
"SPECTRUM-OV-107","Solid",1500,"chr10",10,0.997083900196955
"SPECTRUM-OV-107","Solid",1500,"chr11",11,1.05790595189892
"SPECTRUM-OV-107","Solid",1500,"chr12",12,1.05995800240026
"SPECTRUM-OV-107","Solid",1500,"chr13",13,1.00835136786463
"SPECTRUM-OV-107","Solid",1500,"chr14",14,0.989025128051862
"SPECTRUM-OV-107","Solid",1500,"chr15",15,0.959595753025625
"SPECTRUM-OV-107","Solid",1500,"chr16",16,0.946274366987646
"SPECTRUM-OV-107","Solid",1500,"chr17",17,0.971960205563284
"SPECTRUM-OV-107","Solid",1500,"chr18",18,1.01231724639794
"SPECTRUM-OV-107","Solid",1500,"chr19",19,1.03146204426621
"SPECTRUM-OV-107","Solid",1500,"chr20",20,1.14793356823866
"SPECTRUM-OV-107","Solid",1500,"chr21",21,1.00210103772834
"SPECTRUM-OV-107","Solid",1500,"chr22",22,0.86192941839475
"SPECTRUM-OV-107","Ascites",1155,"chr1",1,1.04310092229346
"SPECTRUM-OV-107","Ascites",1155,"chr2",2,1.01167646560155
"SPECTRUM-OV-107","Ascites",1155,"chr3",3,1.02605420161046
"SPECTRUM-OV-107","Ascites",1155,"chr4",4,0.962166133290048
"SPECTRUM-OV-107","Ascites",1155,"chr5",5,0.984040200744186
"SPECTRUM-OV-107","Ascites",1155,"chr6",6,0.89339752011329
"SPECTRUM-OV-107","Ascites",1155,"chr7",7,1.06534739954959
"SPECTRUM-OV-107","Ascites",1155,"chr8",8,1.09911791581738
"SPECTRUM-OV-107","Ascites",1155,"chr9",9,1.00505260638203
"SPECTRUM-OV-107","Ascites",1155,"chr10",10,1.00329752616459
"SPECTRUM-OV-107","Ascites",1155,"chr11",11,1.05727300829517
"SPECTRUM-OV-107","Ascites",1155,"chr12",12,1.04252172251986
"SPECTRUM-OV-107","Ascites",1155,"chr13",13,1.00973105428814
"SPECTRUM-OV-107","Ascites",1155,"chr14",14,0.971696468124578
"SPECTRUM-OV-107","Ascites",1155,"chr15",15,0.988286185202415
"SPECTRUM-OV-107","Ascites",1155,"chr16",16,0.953021523794252
"SPECTRUM-OV-107","Ascites",1155,"chr17",17,0.973141702993234
"SPECTRUM-OV-107","Ascites",1155,"chr18",18,1.02978576470933
"SPECTRUM-OV-107","Ascites",1155,"chr19",19,0.990027220943713
"SPECTRUM-OV-107","Ascites",1155,"chr20",20,1.18128761026477
"SPECTRUM-OV-107","Ascites",1155,"chr21",21,1.00368756533328
"SPECTRUM-OV-107","Ascites",1155,"chr22",22,0.861689324156347
"SPECTRUM-OV-112","Solid",1500,"chr1",1,1.02288788481798
"SPECTRUM-OV-112","Solid",1500,"chr2",2,1.03272572430316
"SPECTRUM-OV-112","Solid",1500,"chr3",3,1.05818478664984
"SPECTRUM-OV-112","Solid",1500,"chr4",4,0.990189926696605
"SPECTRUM-OV-112","Solid",1500,"chr5",5,1.00291717954262
"SPECTRUM-OV-112","Solid",1500,"chr6",6,0.926464209316274
"SPECTRUM-OV-112","Solid",1500,"chr7",7,1.02458972265438
"SPECTRUM-OV-112","Solid",1500,"chr8",8,1.0325411519599
"SPECTRUM-OV-112","Solid",1500,"chr9",9,0.999966485885535
"SPECTRUM-OV-112","Solid",1500,"chr10",10,0.991818093235226
"SPECTRUM-OV-112","Solid",1500,"chr11",11,1.07503421963281
"SPECTRUM-OV-112","Solid",1500,"chr12",12,1.03395193924376
"SPECTRUM-OV-112","Solid",1500,"chr13",13,0.97362589201139
"SPECTRUM-OV-112","Solid",1500,"chr14",14,0.940748658898007
"SPECTRUM-OV-112","Solid",1500,"chr15",15,0.977875994100399
"SPECTRUM-OV-112","Solid",1500,"chr16",16,0.978599190455473
"SPECTRUM-OV-112","Solid",1500,"chr17",17,0.987185821354536
"SPECTRUM-OV-112","Solid",1500,"chr18",18,1.00116884978287
"SPECTRUM-OV-112","Solid",1500,"chr19",19,1.00853920953558
"SPECTRUM-OV-112","Solid",1500,"chr20",20,1.03434038653983
"SPECTRUM-OV-112","Solid",1500,"chr21",21,0.982631448018359
"SPECTRUM-OV-112","Solid",1500,"chr22",22,0.893785142264924
"SPECTRUM-OV-112","Ascites",3,"chr1",1,1.04633348389546
"SPECTRUM-OV-112","Ascites",3,"chr2",2,1.00659946064472
